Abriendo SIMIT...
REQUEST:  GET https://www.fcm.org.co/simit/modulos/mis-acuerdos/mis-acuerdos-inconsistencia/misAcuerdoInconsistencia.html
RESPONSE: 200 https://www.fcm.org.co/simit/modulos/mis-acuerdos/mis-acuerdos-inconsistencia/misAcuerdoInconsistencia.html
REQUEST:  GET https://www.fcm.org.co/simit/modulos/mis-acuerdos/mis-acuerdos-lista/misAcuerdoLista.html
RESPONSE: 200 https://www.fcm.org.co/simit/modulos/mis-acuerdos/mis-acuerdos-lista/misAcuerdoLista.html
REQUEST:  GET https://www.fcm.org.co/simit/core/load_balancer/load_balancer.js
RESPONSE: 200 https://www.fcm.org.co/simit/core/load_balancer/load_balancer.js
REQUEST:  GET https://www.fcm.org.co/simit/modulos/component-accesibilidad/ComponentAccesibilidad.html
RESPONSE: 200 https://www.fcm.org.co/simit/modulos/component-accesibilidad/ComponentAccesibilidad.html
REQUEST:  GET https://www.fcm.org.co/simit/modulos/component-accesibilidad/ComponentAccesibilidadControllerImpl.js
RESPONSE: 200 https://www.fcm.org.co/simit/modulos/component-accesibilidad/ComponentAccesibilidadControllerImpl.js
REQUEST:  GET https://www.fcm.org.co/simit/resources/images/pse.png
REQUEST:  GET https://www.fcm.org.co/simit/modulos/estado-cuenta/EstadoCuentaControllerImpl.js
RESPONSE: 200 https://www.fcm.org.co/simit/modulos/estado-cuenta/EstadoCuentaControllerImpl.js
RESPONSE: 200 https://www.fcm.org.co/simit/resources/images/pse.png
REQUEST:  GET https://www.fcm.org.co/simit/dist/scripts/wehatecaptcha.js
RESPONSE: 200 https://www.fcm.org.co/simit/dist/scripts/wehatecaptcha.js
REQUEST:  GET https://qxcaptcha.fcm.org.co/captcha.js
